"","labs","rows"
"2713","Max Elev","741.5 ft"
"2714","Avg Run Cadence","150 spm"
"2715","Max Run Cadence","167 spm"
"2716","Avg Stride Length","1.35 m"
"2717","title","Athens Running"
"2718","Distance","16.00 mi"
"2719","Calories Burned","2,010 C"
"2720","Calories Consumed","-- C"
"2721","Calories Net","-2,010 C"
"2722","Est. Sweat Loss","783 ml"
"2723","Fluid Consumed","-- ml"
"2724","Fluid Net","-783 ml"
"2725","Aerobic","5.0 Overreaching"
"2726","Anaerobic","1.7 Some Benefit"
"2727","Avg HR","166 bpm"
"2728","Max HR","179 bpm"
"2729","Time","2:10:32"
"2730","Moving Time","2:09:43"
"2731","Elapsed Time","2:17:06"
"2732","Avg Speed","7.4 mph"
"2733","Avg Moving Speed","7.4 mph"
"2734","Max Speed","9.4 mph"
"2735","Total Ascent","809.1 ft"
"2736","Total Descent","846.4 ft"
"2737","Min Elev","580.7 ft"
"2738","Max Elev","780.8 ft"
"2739","Avg Run Cadence","148 spm"
"2740","Max Run Cadence","169 spm"
"2741","Avg Stride Length","1.33 m"
"2742","title","Athens Running"
"2743","Distance","3.50 mi"
"2744","Calories Burned","490 C"
"2745","Calories Consumed","-- C"
"2746","Calories Net","-490 C"
"2747","Est. Sweat Loss","220 ml"
"2748","Fluid Consumed","-- ml"
"2749","Fluid Net","-220 ml"
"2750","Aerobic","2.6 Maintaining"
"2751","Anaerobic","0.0 No Benefit"
"2752","Avg HR","147 bpm"
"2753","Max HR","160 bpm"
"2754","Time","36:47"
"2755","Moving Time","36:27"
"2756","Elapsed Time","38:03"
"2757","Avg Speed","5.7 mph"
"2758","Avg Moving Speed","5.8 mph"
"2759","Max Speed","6.9 mph"
"2760","Total Ascent","78.1 ft"
"2761","Total Descent","85.3 ft"
"2762","Min Elev","605.6 ft"
"2763","Max Elev","688.5 ft"
"2764","Avg Run Cadence","141 spm"
"2765","Max Run Cadence","155 spm"
"2766","Avg Stride Length","1.08 m"
"2767","title","Athens Running"
"2768","Distance","5.03 mi"
"2769","Calories Burned","624 C"
"2770","Calories Consumed","-- C"
"2771","Calories Net","-624 C"
"2772","Est. Sweat Loss","236 ml"
"2773","Fluid Consumed","-- ml"
"2774","Fluid Net","-236 ml"
"2775","Aerobic","3.5 Impacting"
"2776","Anaerobic","0.0 No Benefit"
"2777","Avg HR","161 bpm"
"2778","Max HR","177 bpm"
"2779","Time","39:21"
"2780","Moving Time","39:19"
"2781","Elapsed Time","39:21"
"2782","Avg Speed","7.7 mph"
"2783","Avg Moving Speed","7.7 mph"
"2784","Max Speed","9.7 mph"
"2785","Total Ascent","325.0 ft"
"2786","Total Descent","266.1 ft"
"2787","Min Elev","633.4 ft"
"2788","Max Elev","741.5 ft"
"2789","Avg Run Cadence","154 spm"
"2790","Max Run Cadence","172 spm"
"2791","Avg Stride Length","1.34 m"
"2792","title","Athens Running"
"2793","Distance","10.01 mi"
"2794","Calories Burned","1,282 C"
"2795","Calories Consumed","-- C"
"2796","Calories Net","-1,282 C"
"2797","Est. Sweat Loss","480 ml"
"2798","Fluid Consumed","-- ml"
"2799","Fluid Net","-480 ml"
"2800","Aerobic","4.5 Highly Impacting"
"2801","Anaerobic","0.4 No Benefit"
"2802","Avg HR","164 bpm"
"2803","Max HR","177 bpm"
"2804","Time","1:20:00"
"2805","Moving Time","1:19:45"
"2806","Elapsed Time","1:21:28"
"2807","Avg Speed","7.5 mph"
"2808","Avg Moving Speed","7.5 mph"
"2809","Max Speed","9.1 mph"
"2810","Total Ascent","636.6 ft"
"2811","Total Descent","584.0 ft"
"2812","Min Elev","632.9 ft"
"2813","Max Elev","741.5 ft"
"2814","Avg Run Cadence","149 spm"
"2815","Max Run Cadence","173 spm"
"2816","Avg Stride Length","1.35 m"
"2817","title","Athens Running"
"2818","Distance","3.00 mi"
"2819","Calories Burned","383 C"
"2820","Calories Consumed","-- C"
"2821","Calories Net","-383 C"
"2822","Est. Sweat Loss","172 ml"
"2823","Fluid Consumed","-- ml"
"2824","Fluid Net","-172 ml"
"2825","Aerobic","2.4 Maintaining"
"2826","Anaerobic","0.0 No Benefit"
"2827","Avg HR","143 bpm"
"2828","Max HR","157 bpm"
"2829","Time","28:49"
"2830","Moving Time","28:48"
"2831","Elapsed Time","29:55"
"2832","Avg Speed","6.3 mph"
"2833","Avg Moving Speed","6.3 mph"
"2834","Max Speed","13.7 mph"
"2835","Total Ascent","191.3 ft"
"2836","Total Descent","208.0 ft"
"2837","Min Elev","640.4 ft"
"2838","Max Elev","662.6 ft"
"2839","Avg Run Cadence","143 spm"
"2840","Max Run Cadence","192 spm"
"2841","Avg Stride Length","1.17 m"
"2842","title","Athens Running"
"2843","Distance","3.20 mi"
"2844","Calories Burned","402 C"
"2845","Calories Consumed","-- C"
"2846","Calories Net","-402 C"
"2847","Est. Sweat Loss","182 ml"
"2848","Fluid Consumed","-- ml"
"2849","Fluid Net","-182 ml"
"2850","Aerobic","2.3 Maintaining"
"2851","Anaerobic","0.0 No Benefit"
"2852","Avg HR","142 bpm"
"2853","Max HR","154 bpm"
"2854","Time","30:24"
"2855","Moving Time","30:22"
"2856","Elapsed Time","30:24"
"2857","Avg Speed","6.3 mph"
"2858","Avg Moving Speed","6.3 mph"
"2859","Max Speed","7.5 mph"
"2860","Total Ascent","127.8 ft"
"2861","Total Descent","70.8 ft"
"2862","Min Elev","630.9 ft"
"2863","Max Elev","741.5 ft"
"2864","Avg Run Cadence","149 spm"
"2865","Max Run Cadence","161 spm"
"2866","Avg Stride Length","1.14 m"
"2867","title","Athens Running"
"2868","Distance","8.01 mi"
"2869","Calories Burned","1,019 C"
"2870","Calories Consumed","-- C"
"2871","Calories Net","-1,019 C"
"2872","Est. Sweat Loss","366 ml"
"2873","Fluid Consumed","-- ml"
"2874","Fluid Net","-366 ml"
"2875","Aerobic","4.6 Highly Impacting"
"2876","Anaerobic","0.0 No Benefit"
"2877","Avg HR","169 bpm"
"2878","Max HR","179 bpm"
"2879","Time","1:01:04"
"2880","Moving Time","1:00:59"
"2881","Elapsed Time","1:01:17"
"2882","Avg Speed","7.9 mph"
"2883","Avg Moving Speed","7.9 mph"
"2884","Max Speed","9.4 mph"
"2885","Total Ascent","497.9 ft"
"2886","Total Descent","429.0 ft"
"2887","Min Elev","631.5 ft"
"2888","Max Elev","741.5 ft"
"2889","Avg Run Cadence","153 spm"
"2890","Max Run Cadence","192 spm"
"2891","Avg Stride Length","1.38 m"
"2892","title","Athens Running"
"2893","Distance","14.10 mi"
"2894","Calories Burned","2,089 C"
"2895","Calories Consumed","-- C"
"2896","Calories Net","-2,089 C"
"2897","Est. Sweat Loss","854 ml"
"2898","Fluid Consumed","-- ml"
"2899","Fluid Net","-854 ml"
"2900","Aerobic","5.0 Overreaching"
"2901","Anaerobic","0.2 No Benefit"
"2902","Avg HR","163 bpm"
"2903","Max HR","177 bpm"
"2904","Time","2:22:12"
"2905","Moving Time","2:22:03"
"2906","Elapsed Time","2:29:45"
"2907","Avg Speed","6.0 mph"
"2908","Avg Moving Speed","6.0 mph"
"2909","Max Speed","8.0 mph"
"2910","Total Ascent","889.7 ft"
"2911","Total Descent","897.7 ft"
"2912","Min Elev","649.6 ft"
"2913","Max Elev","727.2 ft"
"2914","Avg Run Cadence","146 spm"
"2915","Max Run Cadence","203 spm"
"2916","Avg Stride Length","1.10 m"
"2917","title","Athens Running"
"2918","Distance","3.19 mi"
"2919","Calories Burned","442 C"
"2920","Calories Consumed","-- C"
"2921","Calories Net","-442 C"
"2922","Est. Sweat Loss","199 ml"
"2923","Fluid Consumed","-- ml"
"2924","Fluid Net","-199 ml"
"2925","Aerobic","2.4 Maintaining"
"2926","Anaerobic","0.0 No Benefit"
"2927","Avg HR","144 bpm"
"2928","Max HR","164 bpm"
"2929","Time","33:11"
"2930","Moving Time","33:04"
"2931","Elapsed Time","33:59"
"2932","Avg Speed","5.8 mph"
"2933","Avg Moving Speed","5.8 mph"
"2934","Max Speed","6.9 mph"
"2935","Total Ascent","3.3 ft"
"2936","Total Descent","-- ft"
"2937","Min Elev","658.1 ft"
"2938","Max Elev","675.3 ft"
"2939","Avg Run Cadence","146 spm"
"2940","Max Run Cadence","159 spm"
"2941","Avg Stride Length","1.06 m"
"2942","title","Athens Running"
"2943","Distance","5.01 mi"
"2944","Calories Burned","696 C"
"2945","Calories Consumed","-- C"
"2946","Calories Net","-696 C"
"2947","Est. Sweat Loss","254 ml"
"2948","Fluid Consumed","-- ml"
"2949","Fluid Net","-254 ml"
"2950","Aerobic","3.7 Impacting"
"2951","Anaerobic","0.0 No Benefit"
"2952","Avg HR","164 bpm"
"2953","Max HR","177 bpm"
"2954","Time","42:23"
"2955","Moving Time","42:22"
"2956","Elapsed Time","42:30"
"2957","Avg Speed","7.1 mph"
"2958","Avg Moving Speed","7.1 mph"
"2959","Max Speed","8.6 mph"
"2960","Total Ascent","231.5 ft"
"2961","Total Descent","205.7 ft"
"2962","Min Elev","632.7 ft"
"2963","Max Elev","741.5 ft"
"2964","Avg Run Cadence","149 spm"
"2965","Max Run Cadence","172 spm"
"2966","Avg Stride Length","1.27 m"
"2967","title","Athens Running"
"2968","Distance","6.26 mi"
"2969","Calories Burned","694 C"
"2970","Calories Consumed","-- C"
"2971","Calories Net","-694 C"
"2972","Est. Sweat Loss","274 ml"
"2973","Fluid Consumed","-- ml"
"2974","Fluid Net","-274 ml"
"2975","Aerobic","3.4 Impacting"
"2976","Anaerobic","2.6 Maintaining"
"2977","Avg HR","160 bpm"
"2978","Max HR","181 bpm"
"2979","Time","45:44"
"2980","Moving Time","45:02"
"2981","Elapsed Time","1:03:15"
"2982","Avg Speed","8.2 mph"
"2983","Avg Moving Speed","8.3 mph"
"2984","Max Speed","13.2 mph"
"2985","Total Ascent","172.6 ft"
"2986","Total Descent","156.4 ft"
"2987","Min Elev","718.5 ft"
"2988","Max Elev","738.1 ft"
"2989","Avg Run Cadence","147 spm"
"2990","Max Run Cadence","186 spm"
"2991","Avg Stride Length","1.47 m"
"2992","title","Athens Running"
"2993","Distance","3.07 mi"
"2994","Calories Burned","369 C"
"2995","Calories Consumed","-- C"
"2996","Calories Net","-369 C"
"2997","Est. Sweat Loss","176 ml"
"2998","Fluid Consumed","-- ml"
"2999","Fluid Net","-176 ml"
"3000","Aerobic","2.2 Maintaining"
"3001","Anaerobic","0.0 No Benefit"
"3002","Avg HR","139 bpm"
"3003","Max HR","157 bpm"
"3004","Time","29:24"
"3005","Moving Time","29:19"
"3006","Elapsed Time","29:56"
"3007","Avg Speed","6.3 mph"
"3008","Avg Moving Speed","6.3 mph"
"3009","Max Speed","15.7 mph"
"3010","Total Ascent","19.7 ft"
"3011","Total Descent","28.1 ft"
"3012","Min Elev","633.9 ft"
"3013","Max Elev","652.7 ft"
"3014","Avg Run Cadence","145 spm"
"3015","Max Run Cadence","218 spm"
"3016","Avg Stride Length","1.16 m"
"3017","title","Athens Running"
"3018","Distance","3.15 mi"
"3019","Calories Burned","406 C"
"3020","Calories Consumed","-- C"
"3021","Calories Net","-406 C"
"3022","Est. Sweat Loss","194 ml"
"3023","Fluid Consumed","-- ml"
"3024","Fluid Net","-194 ml"
"3025","Aerobic","2.2 Maintaining"
"3026","Anaerobic","0.0 No Benefit"
"3027","Avg HR","140 bpm"
"3028","Max HR","155 bpm"
"3029","Time","32:25"
"3030","Moving Time","32:25"
"3031","Elapsed Time","32:25"
"3032","Avg Speed","5.8 mph"
"3033","Avg Moving Speed","5.8 mph"
"3034","Max Speed","6.8 mph"
"3035","Total Ascent","135.9 ft"
"3036","Total Descent","64.1 ft"
"3037","Min Elev","632.1 ft"
"3038","Max Elev","741.5 ft"
"3039","Avg Run Cadence","145 spm"
"3040","Max Run Cadence","158 spm"
"3041","Avg Stride Length","1.08 m"
"3042","title","Athens Running"
"3043","Distance","10.00 mi"
"3044","Calories Burned","1,168 C"
"3045","Calories Consumed","-- C"
"3046","Calories Net","-1,168 C"
"3047","Est. Sweat Loss","478 ml"
"3048","Fluid Consumed","-- ml"
"3049","Fluid Net","-478 ml"
"3050","Aerobic","3.8 Impacting"
"3051","Anaerobic","0.3 No Benefit"
"3052","Avg HR","156 bpm"
"3053","Max HR","176 bpm"
"3054","Time","1:19:42"
"3055","Moving Time","1:19:29"
"3056","Elapsed Time","1:20:28"
"3057","Avg Speed","7.5 mph"
"3058","Avg Moving Speed","7.6 mph"
"3059","Max Speed","9.3 mph"
"3060","Total Ascent","607.7 ft"
"3061","Total Descent","593.3 ft"
"3062","Min Elev","632.3 ft"
"3063","Max Elev","741.5 ft"
"3064","Avg Run Cadence","149 spm"
"3065","Max Run Cadence","178 spm"
"3066","Avg Stride Length","1.36 m"
"3067","title","Athens Running"
"3068","Distance","4.16 mi"
"3069","Calories Burned","534 C"
"3070","Calories Consumed","-- C"
"3071","Calories Net","-534 C"
"3072","Est. Sweat Loss","259 ml"
"3073","Fluid Consumed","-- ml"
"3074","Fluid Net","-259 ml"
"3075","Aerobic","2.4 Maintaining"
"3076","Anaerobic","0.0 No Benefit"
"3077","Avg HR","141 bpm"
"3078","Max HR","159 bpm"
"3079","Time","43:17"
"3080","Moving Time","43:17"
"3081","Elapsed Time","45:52"
"3082","Avg Speed","5.8 mph"
"3083","Avg Moving Speed","5.8 mph"
"3084","Max Speed","15.2 mph"
"3085","Total Ascent","148.3 ft"
"3086","Total Descent","149.5 ft"
"3087","Min Elev","605.2 ft"
"3088","Max Elev","688.6 ft"
"3089","Avg Run Cadence","145 spm"
"3090","Max Run Cadence","208 spm"
"3091","Avg Stride Length","1.07 m"
"3092","title","Athens Running"
"3093","Distance","12.01 mi"
"3094","Calories Burned","1,432 C"
"3095","Calories Consumed","-- C"
"3096","Calories Net","-1,432 C"
"3097","Est. Sweat Loss","549 ml"
"3098","Fluid Consumed","-- ml"
"3099","Fluid Net","-549 ml"
"3100","Aerobic","4.4 Highly Impacting"
"3101","Anaerobic","1.5 Some Benefit"
"3102","Avg HR","162 bpm"
"3103","Max HR","180 bpm"
"3104","Time","1:31:35"
"3105","Moving Time","1:31:17"
"3106","Elapsed Time","1:34:40"
"3107","Avg Speed","7.9 mph"
"3108","Avg Moving Speed","7.9 mph"
"3109","Max Speed","10.6 mph"
"3110","Total Ascent","660.0 ft"
"3111","Total Descent","621.9 ft"
"3112","Min Elev","580.7 ft"
"3113","Max Elev","780.8 ft"
"3114","Avg Run Cadence","150 spm"
"3115","Max Run Cadence","175 spm"
"3116","Avg Stride Length","1.40 m"
"3117","title","Athens Running"
"3118","Distance","3.01 mi"
"3119","Calories Burned","391 C"
"3120","Calories Consumed","-- C"
"3121","Calories Net","-391 C"
"3122","Est. Sweat Loss","178 ml"
"3123","Fluid Consumed","-- ml"
"3124","Fluid Net","-178 ml"
"3125","Aerobic","2.3 Maintaining"
"3126","Anaerobic","0.0 No Benefit"
"3127","Avg HR","141 bpm"
"3128","Max HR","153 bpm"
"3129","Time","29:45"
"3130","Moving Time","29:38"
"3131","Elapsed Time","30:04"
"3132","Avg Speed","6.1 mph"
"3133","Avg Moving Speed","6.1 mph"
"3134","Max Speed","7.4 mph"
"3135","Total Ascent","6.6 ft"
"3136","Total Descent","6.3 ft"
"3137","Min Elev","649.9 ft"
"3138","Max Elev","676.0 ft"
"3139","Avg Run Cadence","148 spm"
"3140","Max Run Cadence","170 spm"
"3141","Avg Stride Length","1.10 m"
"3142","title","Athens Running"
"3143","Distance","5.06 mi"
"3144","Calories Burned","670 C"
"3145","Calories Consumed","-- C"
"3146","Calories Net","-670 C"
"3147","Est. Sweat Loss","245 ml"
"3148","Fluid Consumed","-- ml"
"3149","Fluid Net","-245 ml"
"3150","Aerobic","3.7 Impacting"
"3151","Anaerobic","0.0 No Benefit"
"3152","Avg HR","164 bpm"
"3153","Max HR","176 bpm"
"3154","Time","40:56"
"3155","Moving Time","40:54"
"3156","Elapsed Time","40:56"
"3157","Avg Speed","7.4 mph"
"3158","Avg Moving Speed","7.4 mph"
"3159","Max Speed","8.7 mph"
"3160","Total Ascent","290.6 ft"
"3161","Total Descent","238.5 ft"
"3162","Min Elev","632.6 ft"
"3163","Max Elev","741.5 ft"
"3164","Avg Run Cadence","149 spm"
"3165","Max Run Cadence","169 spm"
"3166","Avg Stride Length","1.34 m"
"3167","title","Athens Running"
"3168","Distance","9.10 mi"
"3169","Calories Burned","1,149 C"
"3170","Calories Consumed","-- C"
"3171","Calories Net","-1,149 C"
"3172","Est. Sweat Loss","438 ml"
"3173","Fluid Consumed","-- ml"
"3174","Fluid Net","-438 ml"
"3175","Aerobic","4.0 Highly Impacting"
"3176","Anaerobic","0.2 No Benefit"
"3177","Avg HR","160 bpm"
"3178","Max HR","179 bpm"
"3179","Time","1:13:02"
"3180","Moving Time","1:12:55"
"3181","Elapsed Time","1:13:32"
"3182","Avg Speed","7.5 mph"
"3183","Avg Moving Speed","7.5 mph"
"3184","Max Speed","8.7 mph"
"3185","Total Ascent","473.3 ft"
"3186","Total Descent","379.4 ft"
"3187","Min Elev","634.2 ft"
"3188","Max Elev","741.5 ft"
"3189","Avg Run Cadence","149 spm"
"3190","Max Run Cadence","171 spm"
"3191","Avg Stride Length","1.35 m"
"3192","title","Athens Running"
"3193","Distance","4.45 mi"
"3194","Calories Burned","638 C"
"3195","Calories Consumed","-- C"
"3196","Calories Net","-638 C"
"3197","Est. Sweat Loss","276 ml"
"3198","Fluid Consumed","-- ml"
"3199","Fluid Net","-276 ml"
"3200","Aerobic","2.8 Maintaining"
"3201","Anaerobic","0.0 No Benefit"
"3202","Avg HR","147 bpm"
"3203","Max HR","165 bpm"
"3204","Time","46:05"
"3205","Moving Time","45:58"
"3206","Elapsed Time","46:49"
"3207","Avg Speed","5.8 mph"
"3208","Avg Moving Speed","5.8 mph"
"3209","Max Speed","7.0 mph"
"3210","Total Ascent","297.1 ft"
"3211","Total Descent","260.2 ft"
"3212","Min Elev","633.9 ft"
"3213","Max Elev","741.5 ft"
"3214","Avg Run Cadence","144 spm"
"3215","Max Run Cadence","160 spm"
"3216","Avg Stride Length","1.08 m"
"3217","title","Athens Running"
"3218","Distance","6.01 mi"
"3219","Calories Burned","729 C"
"3220","Calories Consumed","-- C"
"3221","Calories Net","-729 C"
"3222","Est. Sweat Loss","250 ml"
"3223","Fluid Consumed","-- ml"
"3224","Fluid Net","-250 ml"
"3225","Aerobic","4.3 Highly Impacting"
"3226","Anaerobic","0.8 No Benefit"
"3227","Avg HR","173 bpm"
"3228","Max HR","186 bpm"
"3229","Time","41:42"
"3230","Moving Time","41:42"
"3231","Elapsed Time","41:53"
"3232","Avg Speed","8.6 mph"
"3233","Avg Moving Speed","8.6 mph"
"3234","Max Speed","10.6 mph"
"3235","Total Ascent","401.4 ft"
"3236","Total Descent","315.1 ft"
"3237","Min Elev","633.9 ft"
"3238","Max Elev","741.5 ft"
"3239","Avg Run Cadence","152 spm"
"3240","Max Run Cadence","169 spm"
"3241","Avg Stride Length","1.52 m"
"3242","title","Athens Running"
"3243","Distance","4.01 mi"
"3244","Calories Burned","519 C"
"3245","Calories Consumed","-- C"
"3246","Calories Net","-519 C"
"3247","Est. Sweat Loss","197 ml"
"3248","Fluid Consumed","-- ml"
"3249","Fluid Net","-197 ml"
"3250","Aerobic","3.2 Impacting"
"3251","Anaerobic","0.0 No Benefit"
"3252","Avg HR","157 bpm"
"3253","Max HR","170 bpm"
"3254","Time","32:55"
"3255","Moving Time","32:54"
"3256","Elapsed Time","32:57"
"3257","Avg Speed","7.3 mph"
"3258","Avg Moving Speed","7.3 mph"
"3259","Max Speed","8.3 mph"
"3260","Total Ascent","187.3 ft"
"3261","Total Descent","201.9 ft"
"3262","Min Elev","628.8 ft"
"3263","Max Elev","741.5 ft"
"3264","Avg Run Cadence","149 spm"
"3265","Max Run Cadence","172 spm"
"3266","Avg Stride Length","1.32 m"
"3267","title","Athens Running"
"3268","Distance","8.01 mi"
"3269","Calories Burned","951 C"
"3270","Calories Consumed","-- C"
"3271","Calories Net","-951 C"
"3272","Est. Sweat Loss","344 ml"
"3273","Fluid Consumed","-- ml"
"3274","Fluid Net","-344 ml"
"3275","Aerobic","4.2 Highly Impacting"
"3276","Anaerobic","0.1 No Benefit"
"3277","Avg HR","165 bpm"
"3278","Max HR","180 bpm"
"3279","Time","57:28"
"3280","Moving Time","57:16"
"3281","Elapsed Time","58:14"
"3282","Avg Speed","8.4 mph"
"3283","Avg Moving Speed","8.4 mph"
"3284","Max Speed","10.4 mph"
"3285","Total Ascent","469.3 ft"
"3286","Total Descent","445.6 ft"
"3287","Min Elev","633.6 ft"
"3288","Max Elev","741.5 ft"
"3289","Avg Run Cadence","154 spm"
"3290","Max Run Cadence","184 spm"
"3291","Avg Stride Length","1.46 m"
"3292","title","Athens Running"
"3293","Distance","5.08 mi"
"3294","Calories Burned","629 C"
"3295","Calories Consumed","-- C"
"3296","Calories Net","-629 C"
"3297","Est. Sweat Loss","256 ml"
"3298","Fluid Consumed","-- ml"
"3299","Fluid Net","-256 ml"
"3300","Aerobic","3.1 Impacting"
"3301","Anaerobic","0.1 No Benefit"
"3302","Avg HR","151 bpm"
"3303","Max HR","170 bpm"
"3304","Time","42:44"
"3305","Moving Time","42:42"
"3306","Elapsed Time","42:44"
"3307","Avg Speed","7.1 mph"
"3308","Avg Moving Speed","7.1 mph"
"3309","Max Speed","8.3 mph"
"3310","Total Ascent","338.0 ft"
"3311","Total Descent","275.5 ft"
"3312","Min Elev","630.1 ft"
"3313","Max Elev","741.5 ft"
"3314","Avg Run Cadence","150 spm"
"3315","Max Run Cadence","180 spm"
"3316","Avg Stride Length","1.27 m"
"3317","title","Athens Running"
"3318","Distance","4.00 mi"
"3319","Calories Burned","538 C"
"3320","Calories Consumed","-- C"
"3321","Calories Net","-538 C"
"3322","Est. Sweat Loss","236 ml"
"3323","Fluid Consumed","-- ml"
"3324","Fluid Net","-236 ml"
"3325","Aerobic","2.6 Maintaining"
"3326","Anaerobic","0.0 No Benefit"
"3327","Avg HR","145 bpm"
"3328","Max HR","161 bpm"
"3329","Time","39:25"
"3330","Moving Time","39:24"
"3331","Elapsed Time","39:25"
"3332","Avg Speed","6.1 mph"
"3333","Avg Moving Speed","6.1 mph"
"3334","Max Speed","7.0 mph"
"3335","Total Ascent","204.8 ft"
"3336","Total Descent","215.2 ft"
"3337","Min Elev","632.5 ft"
"3338","Max Elev","741.5 ft"
"3339","Avg Run Cadence","147 spm"
"3340","Max Run Cadence","170 spm"
"3341","Avg Stride Length","1.11 m"
"3342","title","Athens Running"
"3343","Distance","8.00 mi"
"3344","Calories Burned","969 C"
"3345","Calories Consumed","-- C"
"3346","Calories Net","-969 C"
"3347","Est. Sweat Loss","355 ml"
"3348","Fluid Consumed","-- ml"
"3349","Fluid Net","-355 ml"
"3350","Aerobic","4.1 Highly Impacting"
"3351","Anaerobic","0.0 No Benefit"
"3352","Avg HR","164 bpm"
"3353","Max HR","175 bpm"
"3354","Time","59:16"
"3355","Moving Time","59:06"
"3356","Elapsed Time","1:00:36"
"3357","Avg Speed","8.1 mph"
"3358","Avg Moving Speed","8.1 mph"
"3359","Max Speed","12.5 mph"
"3360","Total Ascent","493.9 ft"
"3361","Total Descent","413.4 ft"
"3362","Min Elev","633.8 ft"
"3363","Max Elev","741.5 ft"
"3364","Avg Run Cadence","152 spm"
"3365","Max Run Cadence","184 spm"
"3366","Avg Stride Length","1.43 m"
"3367","title","Athens Running"
